radius (nm),ovf,kappa,scrit
50,0.36,0.371,1.005464981
50,0.49,0.334,1.00575724
50,0.56,0.272,1.006372572
50,0.66,0.228,1.00695098
50,0.78,0.169,1.00804618
50,0.78,0.164,1.008164263
50,0.91,0.123,1.009376618
70,0.24,0.4674,1.002940789
70,0.37,0.3995,1.003180057
70,0.57,0.273,1.003842691
70,0.75,0.1977,1.004507825
70,0.78,0.1768,1.004762787
70,0.81,0.1703,1.004851291
70,0.86,0.1455,1.005240244
70,0.88,0.1401,1.00533794
70,0.91,0.1284,1.005569622
70,0.92,0.128,1.005578095
70,0.95,0.1243,1.005658151
70,1,0.027,1.011308369
90,0.569,0.2357,1.002836395
90,0.64,0.228,1.002883542
90,0.7,0.204,1.003047041
90,0.784,0.1778,1.003261543
90,0.83,0.167,1.003364089
90,0.905,0.1443,1.003615272
90,0.941,0.121,1.003941677
90,0.96,0.12,1.003957722
90,0.98,0.121,1.003941677
90,1,0.026,1.008043912
50,0.36,0.368,1.005487047
50,0.49,0.32,1.005880639
50,0.56,0.266,1.006443085
50,0.66,0.228,1.00695098
50,0.78,0.167,1.008092825
50,0.78,0.162,1.008212981
50,0.91,0.124,1.009340324
70,0.24,0.4871,1.002880869
70,0.37,0.4124,1.003130115
70,0.57,0.2827,1.003776701
70,0.75,0.193,1.004561608
70,0.78,0.1746,1.004792196
70,0.81,0.1662,1.004909684
70,0.86,0.1449,1.005250823
70,0.88,0.144,1.005266828
70,0.91,0.128,1.005578095
70,0.92,0.13,1.005536179
70,0.95,0.124,1.005664822
70,1,0.028,1.011143338
90,0.569,0.2425,1.00279662
90,0.64,0.239,1.002816881
90,0.7,0.211,1.002996519
90,0.784,0.1735,1.003301243
90,0.83,0.171,1.003324998
90,0.905,0.1381,1.003694202
90,0.941,0.118,1.003990396
90,0.96,0.119,1.003973963
90,0.98,0.12,1.003957722
90,1,0.026,1.008043912